"listed","name","class"
"CALCIUM-42 CHLORIDE (11NU08) (10mL)","Calcium_chloride","Calcium_chloride"
"CHLORHEXIDINE GLUCONATE","Chlorhexidine","Chlorhexidine"
"AMIKACIN 25mg per litre dialysis fluid","Amikacin","Aminoglycoside"
"CHLORHEXIDINE SACHETS","Chlorhexidine","Chlorhexidine"
"COLISTIMETHATE SODIUM (COLOBREATHE CHALLENGE PACK)","Colistin","Polypeptide"
"ZZCALCIUM CARBONATE (TUMS)","Calcium_carbonate","Calcium_carbonate"
"CALCIUM FOLINATE (10mL)","Calcium_folinate","Calcium_folinate"
"CALCIUM FOLINATE INJ (FOLINIC ACID RESCUE) - CHEMOCARE CHART","Calcium_folinate","Calcium_folinate"
"IMIPENEM/CILASTATIN","Imipenem","Carbapenem"
"ERTAPENEM","Ertapenem","Carbapenem"
"METRONIDAZOLE (ANABACT)","Metronidazole","Metronidazole"
"CIPROFLOXACIN 0.3% DEXAMETHASONE 0.1%","Ciprofloxacin","Fluoroquinolone"
"CHLORHEXIDINE 2% ALCOHOLIC","Chlorhexidine","Chlorhexidine"
"DAPTOMYCIN","Daptomycin","Lipopeptide"
"CALCIUM (ALLIANCE) (Calcium 0.51mmoL in 1mL)","Calcium","Calcium"
"CALCIUM FOLINATE (30mL)","Calcium_folinate","Calcium_folinate"
"TEMOCILLIN","Temocillin","Penicillin"
"PROTIONAMIDE","Protionamide","Protionamide"
"CEFTAZIDIME 125mg per litre dialysis fluid","Ceftazidime","Cephalosporin"
"CALCIUM LACTATE","Calcium_lactate","Calcium_lactate"
"CALCIUM GLUCONATE","Calcium_gluconate","Calcium_gluconate"
"AMIKACIN - 48 hr REVIEW","Amikacin","Aminoglycoside"
"BENZATHINE BENZYLPENICILLIN","Benzylpenicillin","Penicillin"
"CALCIUM FOLINATE (2mL)","Calcium_folinate","Calcium_folinate"
"TOBRAMYCIN BASE","Tobramycin","Aminoglycoside"
"SDD GEL - 2% COLISTIMETHATE TOBRAMYCIN AMPHOTERICIN","Tobramycin","Aminoglycoside"
"MITOMYCIN","Mitomycin","Mitomycin"
"GENTAMICIN FORTE","Gentamicin","Aminoglycoside"
"OFLOXACIN (100mL)","Ofloxacin","Fluoroquinolone"
"CALCIUM CHLORIDE","Calcium_chloride","Calcium_chloride"
"CLOFAZIMINE","Clofazimine","Clofazimine"
"TEDIZOLID PHOSPHATE","Tedizolid","Oxazolidinone"
"LIDOCAINE & CHLORHEXIDINE (INSTILLAGEL) 2% 6mL","Chlorhexidine","Chlorhexidine"
"METRONIDAZOLE(100mL) (Code PAMMET100)","Metronidazole","Metronidazole"
"ISONIAZID (2mL)","Isoniazid","Isoniazid"
"GENTAMICIN 0.3% HYDROCORTISONE 1% (Gentisone HC)","Gentamicin","Aminoglycoside"
"PYRAZINAMIDE","Pyrazinamide","Pyrazinamide"
"CHLORHEXIDINE UROTAINER (100ml Sachet)","Chlorhexidine","Chlorhexidine"
"ISONIAZID (5mL)","Isoniazid","Isoniazid"
"ISONIAZID (2mL) ULM","Isoniazid","Isoniazid"
"CO-TRIMOXAZOLE (5mL)(ULM)","Co-Trimoxazole","Sulfonamide"
"BEDAQUILINE","Bedaquiline","Bedaquiline"
"VANCOMYCIN(HOMECARE) 60 minute","Vancomycin","Glycopeptide"
"RIFAMPICIN 150mg/ISONIAZID 100mg","Rifampicin","Rifamycin"
"COLISTIMETHATE SODIUM (COLOBREATHE)(HOMECARE)","Colistin","Polypeptide"
"RIFAMPICIN 120mg/ISONIAZID 50mg/PYRAZINAMIDE 300mg (RIFATER)","Rifampicin","Rifamycin"
"CALCIUM CHLORIDE 14.7% FOR CITRATE CVVH","Calcium_chloride","Calcium_chloride"
